,0,1,2,3,4,5,6,7,8,9
10,0.00011754035949707031,6.961822509765625e-05,6.508827209472656e-05,8.821487426757812e-05,5.936622619628906e-05,5.412101745605469e-05,5.650520324707031e-05,5.53131103515625e-05,5.1975250244140625e-05,5.1021575927734375e-05
60,0.0007560253143310547,0.0009658336639404297,0.0006544589996337891,0.0006501674652099609,0.0005922317504882812,0.0005955696105957031,0.0006024837493896484,0.0006170272827148438,0.0006167888641357422,0.0005860328674316406
110,0.0023131370544433594,0.001657247543334961,0.002263307571411133,0.0016491413116455078,0.002137422561645508,0.0017192363739013672,0.002142667770385742,0.001682281494140625,0.002143383026123047,0.0016438961029052734
160,0.0038862228393554688,0.0035529136657714844,0.0035555362701416016,0.003494739532470703,0.0034444332122802734,0.0035245418548583984,0.003644704818725586,0.0035898685455322266,0.00393223762512207,0.0038182735443115234
210,0.006616353988647461,0.006238222122192383,0.006113290786743164,0.00625300407409668,0.005814552307128906,0.006413698196411133,0.0057981014251708984,0.006227731704711914,0.006392717361450195,0.0059795379638671875
260,0.010049581527709961,0.010731697082519531,0.00958561897277832,0.00915384292602539,0.00969839096069336,0.009345531463623047,0.010011672973632812,0.00921320915222168,0.009618043899536133,0.009923696517944336
310,0.014269828796386719,0.014331817626953125,0.012116432189941406,0.01202535629272461,0.011960983276367188,0.011867046356201172,0.012062549591064453,0.014848470687866211,0.0127716064453125,0.01308441162109375
360,0.01753973960876465,0.01640486717224121,0.019461393356323242,0.018908023834228516,0.017382383346557617,0.018330812454223633,0.020813703536987305,0.017073392868041992,0.01947498321533203,0.019060373306274414
410,0.0310971736907959,0.026531219482421875,0.022086620330810547,0.021936416625976562,0.022541284561157227,0.0218813419342041,0.021841764450073242,0.022069215774536133,0.022156953811645508,0.021813631057739258
460,0.028255224227905273,0.0274658203125,0.02718639373779297,0.027571678161621094,0.027203083038330078,0.027337074279785156,0.027797937393188477,0.027391433715820312,0.02775740623474121,0.027698755264282227
510,0.03453969955444336,0.03453254699707031,0.03502631187438965,0.034317970275878906,0.03796052932739258,0.03311300277709961,0.034130096435546875,0.03552865982055664,0.03472757339477539,0.034896135330200195
560,0.04070472717285156,0.04279017448425293,0.042664527893066406,0.04106903076171875,0.04062247276306152,0.04098153114318848,0.04122042655944824,0.04162907600402832,0.04348635673522949,0.04060792922973633
610,0.04885411262512207,0.04668569564819336,0.04825639724731445,0.047917842864990234,0.04793047904968262,0.04799008369445801,0.0491023063659668,0.047556400299072266,0.048090219497680664,0.04797863960266113
660,0.056902170181274414,0.05635857582092285,0.05801796913146973,0.05602312088012695,0.0572056770324707,0.05648183822631836,0.056981563568115234,0.06001710891723633,0.05618715286254883,0.05580854415893555
710,0.06644439697265625,0.06353378295898438,0.06460690498352051,0.0643010139465332,0.06491923332214355,0.07293581962585449,0.06615066528320312,0.06817245483398438,0.06828618049621582,0.06467533111572266
760,0.07433414459228516,0.07270979881286621,0.07299327850341797,0.0733480453491211,0.07394981384277344,0.07313823699951172,0.07299113273620605,0.07309913635253906,0.07320690155029297,0.07218360900878906
810,0.08237791061401367,0.0823218822479248,0.08214092254638672,0.08215522766113281,0.09364485740661621,0.08415699005126953,0.08252692222595215,0.0820920467376709,0.0823206901550293,0.0937643051147461
860,0.09354162216186523,0.10339832305908203,0.09238958358764648,0.10067272186279297,0.10082459449768066,0.09365630149841309,0.09914779663085938,0.09375953674316406,0.10093522071838379,0.10018229484558105
910,0.10600757598876953,0.11181497573852539,0.1044461727142334,0.11212301254272461,0.11571216583251953,0.1026151180267334,0.11597704887390137,0.10309672355651855,0.11384153366088867,0.13307666778564453
960,0.11800503730773926,0.1324141025543213,0.1166532039642334,0.12540388107299805,0.11485743522644043,0.12657666206359863,0.1316390037536621,0.1141366958618164,0.136000394821167,0.11921977996826172
1010,0.1440122127532959,0.12758922576904297,0.13627099990844727,0.12840914726257324,0.13962149620056152,0.13461685180664062,0.1287379264831543,0.1394660472869873,0.12667131423950195,0.14287567138671875
1060,0.14122891426086426,0.1516716480255127,0.14358925819396973,0.15391802787780762,0.14635825157165527,0.1617295742034912,0.13878679275512695,0.15529632568359375,0.1539628505706787,0.14240765571594238
1110,0.1689908504486084,0.15651535987854004,0.16976618766784668,0.15265655517578125,0.1659104824066162,0.15447378158569336,0.17134332656860352,0.15149950981140137,0.1673295497894287,0.1605088710784912
1160,0.1943807601928711,0.1711254119873047,0.2129502296447754,0.1736464500427246,0.1879730224609375,0.18630623817443848,0.19299793243408203,0.1680469512939453,0.18183231353759766,0.16801667213439941
1210,0.2005157470703125,0.18313312530517578,0.19928812980651855,0.18596291542053223,0.20035743713378906,0.18279194831848145,0.2020263671875,0.18184232711791992,0.220198392868042,0.18325471878051758
1260,0.2149505615234375,0.19614195823669434,0.21876215934753418,0.19865036010742188,0.21738171577453613,0.1988365650177002,0.21314048767089844,0.1982860565185547,0.22817444801330566,0.19965767860412598
1310,0.2316441535949707,0.2163548469543457,0.2297651767730713,0.21163415908813477,0.24190211296081543,0.21352601051330566,0.2300558090209961,0.21489500999450684,0.22880029678344727,0.21233916282653809
1360,0.2899785041809082,0.282726526260376,0.29418420791625977,0.2862873077392578,0.24492430686950684,0.2778763771057129,0.2736625671386719,0.2644948959350586,0.24971842765808105,0.2669408321380615
1410,0.2755303382873535,0.341644287109375,0.3082706928253174,0.2820868492126465,0.27536725997924805,0.2500762939453125,0.2790563106536865,0.2779092788696289,0.2747468948364258,0.272397518157959
1460,0.3024106025695801,0.2674977779388428,0.285783052444458,0.28403234481811523,0.282778263092041,0.2803153991699219,0.26219916343688965,0.2905757427215576,0.28659868240356445,0.2808353900909424
1510,0.30924201011657715,0.3051614761352539,0.2806849479675293,0.30913758277893066,0.3063502311706543,0.3111884593963623,0.2815713882446289,0.3117256164550781,0.30365848541259766,0.30684876441955566
1560,0.33867669105529785,0.30829858779907227,0.3373279571533203,0.36174893379211426,0.3476853370666504,0.29602694511413574,0.3189537525177002,0.330791711807251,0.3260931968688965,0.29639315605163574
1610,0.34973978996276855,0.3479268550872803,0.34396839141845703,0.32155370712280273,0.3552052974700928,0.34879088401794434,0.3437674045562744,0.3187849521636963,0.3488326072692871,0.35497426986694336
1660,0.37537312507629395,0.3350656032562256,0.3622090816497803,0.36113595962524414,0.3280293941497803,0.3610408306121826,0.36350536346435547,0.36191344261169434,0.33797121047973633,0.3927135467529297
1710,0.391247034072876,0.3582284450531006,0.391387939453125,0.38938283920288086,0.4143698215484619,0.3627352714538574,0.3917350769042969,0.39011216163635254,0.38275909423828125,0.39537787437438965
1760,0.44709229469299316,0.39239001274108887,0.4084770679473877,0.4075939655303955,0.37229228019714355,0.40303587913513184,0.40825653076171875,0.4022650718688965,0.41341733932495117,0.4085705280303955
1810,0.40392351150512695,0.4310948848724365,0.43678903579711914,0.3981175422668457,0.4215693473815918,0.43405628204345703,0.40473461151123047,0.4441344738006592,0.4360671043395996,0.397188663482666
1860,0.45749902725219727,0.4561481475830078,0.423708438873291,0.4469621181488037,0.4467442035675049,0.4164297580718994,0.4511542320251465,0.45996809005737305,0.4218595027923584,0.460158109664917
1910,0.4539813995361328,0.4878072738647461,0.46912240982055664,0.4421193599700928,0.4726252555847168,0.47188353538513184,0.445281982421875,0.49593138694763184,0.44028663635253906,0.48309803009033203
1960,0.5087466239929199,0.5014264583587646,0.4690849781036377,0.5013325214385986,0.49080991744995117,0.459824800491333,0.49651527404785156,0.45667600631713867,0.4916822910308838,0.5034523010253906
